index,metric_label,metric_name,metric_short_explanation,source
1,IMDB users,IMDB score,is based on IMDB registered users' ratings,https://help.imdb.com/article/imdb/track-movies-tv/ratings-faq/G67Y87TFYYP6TWAV?ref_=helpsrall#
2,IMDB critics,IMDB Metascore,"weighted average of curated critics' reviews",https://www.metacritic.com/about-us/
3,Rotten Tomatoes critics,Rotten Tomatoes Tomatometer,% of professional critic reviews that are positive for a given film or television show.,https://www.rottentomatoes.com/about
4,Rotten Tomatoes users,Rotten Tomatoes Audience Score,% of users who have rated a movie or TV show positively,https://www.rottentomatoes.com/about
